iter	Passed	Remaining
0	1	112
1	2	122
2	4	139
3	5	134
4	7	135
5	8	140
6	10	139
7	12	139
8	13	139
9	15	138
10	16	136
11	18	132
12	19	129
13	20	124
14	21	123
15	23	122
16	24	118
17	25	115
18	26	111
19	27	108
20	28	105
21	29	103
22	30	100
23	30	98
24	32	96
25	32	93
26	33	91
27	34	88
28	35	87
29	36	85
30	37	83
31	38	81
32	39	79
33	39	77
34	41	76
35	41	74
36	42	72
37	43	71
38	44	69
39	45	68
40	46	66
41	47	65
42	47	63
43	48	62
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	55	52
51	55	51
52	56	50
53	57	49
54	57	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	62	40
61	63	39
62	64	38
63	65	37
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
