iter	Passed	Remaining
0	1	1274
1	2	1328
2	4	1635
3	6	1527
4	7	1413
5	9	1503
6	10	1499
7	11	1457
8	13	1444
9	13	1358
10	15	1351
11	16	1334
12	17	1299
13	18	1275
14	19	1272
15	20	1259
16	22	1291
17	23	1297
18	25	1297
19	26	1282
20	26	1258
21	27	1233
22	28	1210
23	29	1194
24	30	1186
25	31	1179
26	32	1158
27	32	1141
28	33	1125
29	34	1111
30	35	1094
31	35	1080
32	36	1078
33	37	1075
34	38	1072
35	39	1060
36	40	1048
37	40	1036
38	41	1024
39	42	1016
40	42	1005
41	43	999
42	44	994
43	45	988
44	46	979
45	46	971
46	47	964
47	48	956
48	48	947
49	49	939
50	50	933
51	50	926
52	51	920
53	52	915
54	52	909
55	53	903
56	54	895
57	54	890
58	55	889
59	56	886
60	57	882
61	57	875
62	58	872
63	59	873
64	60	874
65	61	869
66	62	873
67	63	869
68	64	865
69	64	860
70	65	855
71	66	852
72	67	852
73	68	852
74	69	862
75	70	858
76	71	854
77	71	848
78	72	845
79	73	841
80	74	841
81	74	838
82	75	834
83	76	829
84	76	825
85	77	821
86	77	818
87	78	813
88	79	809
89	79	805
90	80	801
91	81	803
92	82	802
93	82	799
94	83	795
95	84	792
96	84	788
97	85	785
98	86	782
99	86	780
100	87	776
101	87	773
102	89	775
103	90	776
104	90	775
105	91	775
106	92	773
107	93	771
108	93	768
109	94	764
110	95	761
111	95	760
112	96	760
113	97	758
114	98	757
115	99	754
116	99	751
117	100	749
118	100	745
119	101	743
120	101	740
121	102	738
122	103	737
123	104	735
124	104	732
125	105	729
126	105	727
127	106	724
128	106	721
129	107	718
130	108	717
131	108	714
132	109	711
133	109	709
134	110	709
135	111	707
136	112	705
137	112	703
138	113	701
139	113	698
140	114	695
141	115	698
142	116	695
143	116	693
144	117	691
145	117	690
146	118	687
147	119	685
148	119	683
149	120	681
150	120	678
151	121	676
152	121	674
153	122	671
154	122	669
155	123	667
156	123	665
157	124	662
158	125	661
159	125	660
160	126	658
161	126	656
162	127	654
163	127	652
164	129	653
165	129	651
166	130	649
167	130	647
168	131	646
169	131	643
170	132	642
171	133	640
172	133	638
173	134	637
174	134	635
175	135	633
176	135	632
177	136	630
178	136	628
179	137	626
180	137	624
181	138	622
182	139	620
183	139	619
184	140	618
185	140	616
186	141	614
187	141	613
188	142	611
189	143	610
190	143	608
191	144	607
192	144	605
193	145	605
194	146	603
195	146	602
196	147	601
197	148	600
198	148	599
199	149	597
200	150	596
201	150	594
202	151	593
203	151	591
204	152	589
205	152	588
206	153	586
207	153	585
208	154	583
209	154	583
210	155	581
211	156	580
212	156	579
213	157	577
214	157	576
215	158	574
216	158	573
217	159	571
218	159	570
219	160	568
220	160	567
221	161	565
222	162	565
223	163	565
224	163	564
225	164	563
226	164	561
227	165	560
228	166	559
229	166	557
230	167	556
231	167	554
232	168	553
233	168	552
234	169	551
235	170	551
236	171	550
237	171	550
238	172	548
239	173	548
240	173	547
241	174	545
242	174	544
243	175	543
244	175	542
245	176	541
246	177	540
247	178	541
248	179	540
249	179	539
250	180	538
251	180	537
252	181	535
253	182	534
254	182	533
255	183	532
256	183	531
257	185	532
258	186	532
259	186	531
260	187	529
261	187	528
262	188	527
263	188	526
264	189	524
265	189	523
266	190	522
267	190	521
268	191	520
269	192	519
270	192	518
271	193	516
272	193	515
273	194	514
274	194	513
275	195	512
276	195	510
277	196	509
278	196	508
279	197	507
280	197	506
281	198	505
282	199	505
283	200	505
284	200	503
285	201	502
286	201	501
287	202	500
288	202	499
289	203	497
290	203	496
291	204	495
292	205	494
293	205	493
294	206	493
295	206	492
296	207	490
297	207	489
298	208	488
299	208	487
300	209	486
301	210	486
302	210	485
303	211	484
304	211	482
305	212	482
306	213	481
307	213	480
308	214	479
309	215	478
310	215	477
311	216	476
312	217	477
313	218	476
314	218	475
315	219	474
316	219	473
317	220	472
318	220	471
319	221	470
320	221	469
321	222	468
322	222	467
323	223	466
324	224	465
325	224	464
326	225	463
327	225	462
328	226	461
329	226	460
330	227	459
331	227	458
332	228	457
333	229	456
334	229	455
335	230	455
336	231	454
337	231	453
338	232	452
339	232	451
340	233	450
341	233	449
342	234	448
343	234	447
344	235	446
345	235	445
346	236	444
347	236	444
348	237	443
349	238	442
350	238	441
351	239	440
352	239	439
353	240	438
354	240	437
355	241	436
356	241	435
357	242	434
358	243	434
359	243	433
360	244	432
361	244	431
362	245	430
363	245	429
364	246	428
365	246	427
366	247	426
367	247	425
368	248	424
369	248	423
370	249	422
371	250	422
372	250	421
373	251	420
374	252	420
375	252	419
376	253	418
377	253	417
378	254	416
379	254	415
380	255	414
381	255	414
382	256	413
383	257	412
384	258	412
385	258	411
386	259	410
387	259	409
388	260	409
389	260	408
390	261	407
391	261	406
392	262	405
393	263	404
394	263	403
395	264	402
396	264	402
397	265	401
398	266	401
399	266	400
400	267	399
401	267	398
402	268	397
403	268	396
404	269	395
405	270	395
406	270	394
407	271	393
408	271	392
409	272	391
410	272	391
411	273	390
412	273	389
413	274	388
414	274	387
415	275	386
416	275	385
417	276	384
418	276	384
419	277	383
420	278	382
421	278	381
422	279	380
423	279	379
424	280	379
425	280	378
426	281	377
427	281	376
428	282	376
429	283	375
430	283	374
431	284	373
432	284	372
433	285	372
434	286	371
435	286	371
436	287	370
437	288	369
438	288	369
439	289	368
440	289	367
441	290	366
442	290	365
443	291	364
444	291	363
445	292	363
446	292	362
447	293	361
448	293	360
449	294	359
450	295	359
451	295	358
452	296	357
453	296	357
454	297	356
455	297	355
456	298	354
457	299	354
458	299	353
459	300	352
460	300	351
461	301	351
462	302	351
463	303	350
464	304	350
465	304	349
466	305	348
467	306	348
468	306	347
469	307	346
470	307	345
471	308	344
472	308	344
473	309	343
474	310	342
475	310	342
476	311	341
477	311	340
478	312	339
479	312	339
480	313	338
481	314	337
482	314	336
483	315	335
484	315	335
485	316	334
486	316	333
487	317	332
488	317	332
489	318	331
490	318	330
491	319	329
492	320	329
493	320	328
494	321	327
495	321	326
496	322	326
497	322	325
498	323	324
499	323	323
500	324	323
501	325	322
502	325	321
503	326	320
504	326	320
505	327	319
506	328	318
507	328	318
508	329	317
509	329	316
510	330	315
511	330	315
512	331	314
513	331	313
514	332	313
515	333	312
516	334	312
517	334	311
518	335	310
519	335	309
520	336	309
521	336	308
522	337	307
523	337	306
524	338	306
525	338	305
526	339	304
527	340	303
528	340	303
529	341	302
530	341	301
531	342	301
532	342	300
533	343	299
534	343	298
535	344	298
536	344	297
537	345	296
538	346	295
539	346	295
540	347	294
541	347	294
542	349	293
543	349	293
544	350	292
545	350	291
546	351	290
547	351	290
548	352	289
549	353	288
550	353	288
551	354	287
552	354	286
553	355	286
554	356	285
